,MS SubClass,MS Zoning,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition,Bldg Type,Overall Qual,Exter Qual,Bsmt Qual,BsmtFin Type 1,Total Bsmt SF,Heating QC,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Kitchen Qual,TotRms AbvGrd,Garage Area,Paved Drive,Sale Type,SalePrice,tot_baths,tot_bed_bath,tot_liv_area
36,160,RM,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,TwnhsE,5,3,3.0,ALQ,757.0,Ex,1475,0.0,0.0,3,6,336.0,Y,WD ,127000,2.0,6.0,2232.0
37,20,RL,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,1Fam,6,3,4.0,BLQ,1844.0,Ex,1844,0.0,0.0,3,7,546.0,Y,COD,190000,2.0,5.0,3688.0
38,20,RL,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,1Fam,7,3,3.0,ALQ,1242.0,Fa,1242,0.0,0.0,3,6,528.0,Y,WD ,175500,1.5,4.5,2484.0
39,20,RL,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,5,3,4.0,GLQ,990.0,Ex,990,1.0,0.0,3,5,384.0,Y,WD ,146000,1.0,4.0,1980.0
40,20,RL,Lvl,AllPub,Inside,Gtl,Edwards,Norm,1Fam,5,4,3.0,BLQ,1256.0,Gd,1256,1.0,0.0,3,6,276.0,Y,WD ,147500,1.5,4.5,2512.0
41,20,RL,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,1Fam,10,5,5.0,GLQ,2076.0,Ex,2076,1.0,0.0,5,7,850.0,Y,New,465000,2.5,4.5,4152.0
42,85,RL,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,1Fam,5,3,4.0,GLQ,1097.0,Ex,1110,1.0,0.0,4,4,602.0,Y,WD ,165500,1.0,2.0,2207.0
43,50,RM,Lvl,AllPub,Inside,Gtl,OldTown,Norm,1Fam,5,3,3.0,Unf,1050.0,Ex,1795,0.0,0.0,3,7,352.0,Y,WD ,131500,2.0,6.0,2845.0
44,20,RL,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,1Fam,5,3,3.0,Rec,1040.0,Ex,1040,1.0,0.0,3,5,384.0,Y,WD ,129500,1.0,4.0,2080.0
45,70,RL,HLS,AllPub,Inside,Mod,Crawfor,Norm,1Fam,8,3,3.0,LwQ,608.0,TA,1873,0.0,0.0,3,9,786.0,Y,WD ,257076,1.5,5.5,2481.0
46,50,RL,Lvl,AllPub,Inside,Gtl,Edwards,Norm,1Fam,5,3,3.0,LwQ,984.0,Ex,1604,0.0,0.0,3,6,660.0,Y,WD ,117000,2.0,5.0,2588.0
47,70,RL,HLS,AllPub,Inside,Mod,Crawfor,Norm,1Fam,7,3,4.0,Unf,776.0,TA,1502,0.0,0.0,3,6,270.0,P,WD ,149000,1.5,4.5,2278.0
48,20,RL,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,5,3,3.0,Rec,1056.0,TA,1063,1.0,0.0,3,6,280.0,Y,WD ,128000,1.0,4.0,2119.0
49,160,RL,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Twnhs,7,4,4.0,Unf,764.0,Ex,1626,0.0,0.0,4,6,474.0,Y,WD ,155000,2.5,4.5,2390.0
50,160,FV,Lvl,AllPub,Inside,Gtl,Somerst,Norm,TwnhsE,6,4,4.0,GLQ,756.0,Ex,1524,0.0,0.0,4,4,440.0,Y,WD ,166000,2.5,4.5,2280.0
51,50,RL,Lvl,AllPub,Inside,Gtl,SWISU,Norm,1Fam,4,3,3.0,BLQ,1122.0,TA,1981,1.0,0.0,4,7,576.0,Y,WD ,135000,2.0,6.0,3103.0
52,60,RL,Lvl,AllPub,Inside,Gtl,NWAmes,RRA,1Fam,7,3,4.0,BLQ,1392.0,TA,2784,1.0,0.0,4,12,564.0,Y,WD ,250000,3.5,8.5,4176.0
53,160,RM,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Twnhs,4,3,3.0,GLQ,546.0,Ex,1092,0.0,0.0,3,5,0.0,Y,WD ,76000,1.5,4.5,1638.0
54,20,RL,Lvl,AllPub,Corner,Gtl,NAmes,Norm,1Fam,6,3,3.0,Unf,216.0,TA,1575,0.0,0.0,4,5,400.0,Y,WD ,155000,1.5,3.5,1791.0
55,60,RL,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,1Fam,6,3,3.0,ALQ,663.0,TA,1352,0.0,0.0,3,7,299.0,Y,WD ,158000,1.5,5.5,2015.0
56,160,FV,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Twnhs,7,4,4.0,GLQ,600.0,Ex,1200,1.0,0.0,4,4,480.0,Y,WD ,149500,2.5,4.5,1800.0
57,20,RL,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,5,3,3.0,BLQ,936.0,TA,936,0.0,0.0,3,5,240.0,Y,WD ,121000,1.0,3.0,1872.0
58,20,RL,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,6,3,3.0,Rec,1040.0,TA,1040,0.0,1.0,3,6,293.0,Y,WD ,136000,1.0,4.0,2080.0
59,60,RL,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,1Fam,6,3,4.0,Rec,916.0,Gd,1636,0.0,0.0,3,7,386.0,Y,WD ,173000,2.5,5.5,2552.0
60,60,RL,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,1Fam,8,4,4.0,GLQ,1152.0,Ex,2270,0.0,0.0,4,9,671.0,Y,WD ,290000,2.5,6.5,3422.0
61,60,FV,Lvl,AllPub,Inside,Gtl,Somerst,Norm,1Fam,8,4,4.0,GLQ,1184.0,Ex,2610,0.0,0.0,5,11,550.0,Y,New,303477,2.5,6.5,3794.0
62,20,RL,Low,AllPub,Inside,Mod,ClearCr,Norm,1Fam,7,4,4.0,ALQ,1420.0,Gd,1483,1.0,0.0,3,4,690.0,Y,WD ,270000,1.5,2.5,2903.0
63,50,RM,Lvl,AllPub,Corner,Gtl,OldTown,Street,1Fam,5,2,3.0,Rec,936.0,Gd,1740,0.0,0.0,5,6,225.0,N,WD ,122250,1.0,3.0,2676.0
64,20,RL,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,5,3,3.0,Rec,1382.0,Gd,1382,0.0,1.0,4,6,350.0,Y,WD ,153000,1.0,4.0,2764.0
65,20,RL,Lvl,AllPub,Inside,Gtl,Mitchel,Street,1Fam,5,3,4.0,ALQ,1120.0,Ex,1120,0.0,0.0,3,6,0.0,Y,New,147000,1.0,4.0,2240.0
66,70,RL,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,1Fam,7,3,4.0,GLQ,531.0,TA,1098,1.0,0.0,3,5,216.0,Y,WD ,148500,1.0,3.0,1629.0
67,160,RM,Lvl,AllPub,Inside,Gtl,Edwards,Norm,TwnhsE,7,4,4.0,Unf,976.0,Ex,1708,0.0,0.0,4,7,380.0,Y,WD ,130000,2.0,5.0,2684.0
68,20,RL,HLS,AllPub,Corner,Mod,NridgHt,Norm,1Fam,9,5,5.0,Unf,1802.0,Ex,1802,0.0,0.0,5,7,843.0,Y,WD ,372000,2.5,5.5,3604.0
69,120,RL,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,TwnhsE,7,4,4.0,GLQ,1362.0,Ex,1506,0.0,0.0,4,6,440.0,Y,WD ,213490,2.0,4.0,2868.0
70,20,RL,Lvl,AllPub,Inside,Gtl,Edwards,Norm,1Fam,7,4,4.0,GLQ,1508.0,Ex,1508,1.0,0.0,4,5,572.0,Y,Con,308030,1.0,2.0,3016.0
71,20,RL,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,1Fam,7,4,5.0,GLQ,1840.0,Ex,2032,1.0,0.0,4,7,786.0,Y,WD ,300000,3.0,6.0,3872.0
72,20,RL,Lvl,AllPub,Corner,Gtl,NAmes,Norm,1Fam,6,3,3.0,ALQ,655.0,Ex,1194,0.0,1.0,3,6,539.0,Y,WD ,159500,1.0,4.0,1849.0
73,160,RM,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Twnhs,7,4,4.0,Unf,970.0,Ex,1709,0.0,0.0,4,7,380.0,Y,WD ,137500,2.0,5.0,2679.0
74,20,RL,Lvl,AllPub,Inside,Gtl,Somerst,Norm,1Fam,7,4,4.0,Unf,1616.0,Ex,1616,0.0,0.0,4,7,834.0,Y,WD ,232000,2.0,5.0,3232.0
75,30,RM,Lvl,AllPub,Inside,Gtl,IDOTRR,RRN,1Fam,6,4,3.0,Unf,768.0,TA,768,0.0,0.0,3,4,440.0,N,WD ,93850,1.0,2.0,1536.0
76,30,RL,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,1Fam,5,3,3.0,Unf,872.0,Fa,872,0.0,0.0,2,5,322.0,N,WD ,105000,1.0,3.0,1744.0
77,30,RM,Lvl,AllPub,Inside,Gtl,BrkSide,Street,1Fam,4,3,3.0,Unf,520.0,Fa,520,0.0,0.0,2,4,240.0,Y,WD ,68500,1.0,2.0,1040.0
78,90,RL,Lvl,AllPub,Corner,Gtl,NAmes,Street,Duplex,5,3,3.0,Rec,1105.0,TA,2274,0.0,0.0,3,12,480.0,Y,WD ,154300,2.0,7.0,3379.0
79,50,RM,Lvl,AllPub,Inside,Gtl,IDOTRR,Street,1Fam,5,4,3.0,Unf,936.0,Ex,1601,0.0,0.0,3,6,0.0,N,WD ,129850,2.0,5.0,2537.0
80,70,RM,Lvl,AllPub,Inside,Gtl,OldTown,Norm,1Fam,5,3,3.0,BLQ,616.0,Ex,1232,0.0,0.0,3,6,480.0,Y,WD ,114000,1.0,4.0,1848.0
81,20,RL,Lvl,AllPub,CulDSac,Gtl,StoneBr,Norm,1Fam,9,5,5.0,GLQ,2216.0,Ex,2234,1.0,0.0,5,9,1166.0,Y,New,501837,2.0,3.0,4450.0
82,50,RM,Lvl,AllPub,Inside,Gtl,OldTown,Street,1Fam,5,3,3.0,Unf,876.0,Gd,1416,0.0,0.0,3,7,720.0,Y,WD ,153900,1.5,5.5,2292.0
83,20,RL,Lvl,AllPub,FR2,Gtl,NAmes,Norm,1Fam,4,3,3.0,ALQ,864.0,Gd,864,0.0,0.0,3,5,576.0,Y,WD ,130000,1.0,4.0,1728.0
84,120,RM,Lvl,AllPub,FR2,Gtl,Mitchel,Norm,TwnhsE,6,3,5.0,GLQ,1189.0,Ex,1189,1.0,0.0,3,4,392.0,Y,WD ,160500,2.0,4.0,2378.0
85,120,RL,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,TwnhsE,9,5,5.0,GLQ,1666.0,Ex,1666,1.0,0.0,4,6,575.0,Y,New,310090,2.0,4.0,3332.0
86,20,RL,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,1Fam,7,4,4.0,GLQ,1176.0,Ex,1200,1.0,0.0,4,5,555.0,Y,WD ,184900,2.0,4.0,2376.0
87,20,RL,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,5,3,4.0,Rec,928.0,TA,928,0.0,0.0,3,4,252.0,Y,WD ,132000,1.0,3.0,1856.0
88,20,RL,Lvl,AllPub,Inside,Gtl,NWAmes,Street,1Fam,5,3,4.0,ALQ,1288.0,TA,1336,0.0,1.0,3,6,502.0,Y,WD ,163000,2.0,5.0,2624.0
89,160,FV,Lvl,AllPub,Inside,Gtl,Somerst,Norm,TwnhsE,7,4,4.0,GLQ,600.0,Ex,1200,0.0,0.0,4,4,480.0,Y,ConLD,155000,2.5,4.5,1800.0
90,80,RL,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,1Fam,6,3,3.0,GLQ,1427.0,Gd,1427,0.0,1.0,3,7,516.0,Y,WD ,183000,2.0,6.0,2854.0
91,60,RL,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,1Fam,7,4,4.0,GLQ,860.0,Ex,1992,1.0,0.0,4,7,608.0,Y,WD ,211000,2.5,5.5,2852.0
92,60,RL,Lvl,AllPub,Inside,Gtl,SawyerW,RRA,1Fam,7,4,4.0,LwQ,754.0,Ex,1540,1.0,0.0,4,6,495.0,Y,WD ,184000,2.5,5.5,2294.0
93,90,RL,Bnk,AllPub,Inside,Gtl,SawyerW,Norm,Duplex,5,3,0.0,Na,0.0,TA,1535,0.0,0.0,3,8,400.0,Y,WD ,118858,2.0,6.0,1535.0
94,80,RL,Lvl,AllPub,Corner,Gtl,NAmes,Norm,1Fam,5,3,3.0,GLQ,1152.0,TA,1152,1.0,0.0,3,6,484.0,Y,WD ,180500,1.0,4.0,2304.0
95,120,FV,Lvl,AllPub,Inside,Gtl,Somerst,Norm,TwnhsE,8,4,4.0,GLQ,1141.0,Ex,1151,1.0,0.0,4,5,484.0,Y,New,166000,2.0,4.0,2292.0
96,80,RL,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,1Fam,6,3,3.0,BLQ,1138.0,Ex,1138,0.0,1.0,3,6,480.0,Y,COD,148000,1.0,4.0,2276.0
97,20,RL,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,5,3,3.0,Rec,894.0,Gd,1074,0.0,0.0,4,6,396.0,Y,WD ,124000,1.0,3.0,1968.0
98,120,RL,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,TwnhsE,9,5,5.0,GLQ,1561.0,Ex,1561,1.0,0.0,5,6,556.0,Y,WD ,277500,2.0,4.0,3122.0
99,60,RL,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,1Fam,8,4,4.0,ALQ,1342.0,Ex,2726,0.0,0.0,4,9,725.0,Y,WD ,350000,2.5,6.5,4068.0
100,20,RL,HLS,AllPub,CulDSac,Gtl,StoneBr,Norm,1Fam,9,5,5.0,GLQ,1884.0,Ex,1884,1.0,0.0,5,7,670.0,Y,WD ,387000,2.0,4.0,3768.0
101,30,RL,Lvl,AllPub,Inside,Gtl,Edwards,Norm,1Fam,4,3,3.0,ALQ,528.0,Ex,605,1.0,0.0,3,5,0.0,N,WD ,86000,1.0,3.0,1133.0
102,20,RL,Lvl,AllPub,Inside,Gtl,Veenker,Norm,1Fam,8,5,4.0,GLQ,1426.0,Ex,1671,1.0,0.0,5,6,550.0,Y,WD ,290000,3.0,6.0,3097.0
103,30,C (all),Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,1Fam,3,3,2.0,Unf,245.0,TA,797,0.0,0.0,3,5,0.0,N,WD ,44000,1.0,3.0,1042.0
104,60,RL,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,1Fam,6,3,5.0,ALQ,804.0,Ex,1961,1.0,0.0,4,7,560.0,Y,WD ,215000,2.5,5.5,2765.0
105,190,RL,Lvl,AllPub,Corner,Gtl,NWAmes,RRA,2fmCon,5,3,4.0,GLQ,1153.0,Ex,1193,1.0,0.0,3,6,501.0,Y,WD ,146500,2.0,4.0,2346.0
106,160,FV,Lvl,AllPub,FR2,Gtl,Somerst,Norm,Twnhs,7,4,4.0,GLQ,673.0,Ex,1382,1.0,0.0,4,6,490.0,Y,WD ,165000,2.5,5.5,2055.0
107,50,RM,Lvl,AllPub,Inside,Gtl,OldTown,Street,1Fam,6,3,3.0,Rec,714.0,TA,2526,0.0,0.0,4,10,216.0,Y,CWD,136000,2.0,7.0,3240.0
108,20,RL,Low,AllPub,CulDSac,Sev,NAmes,Norm,1Fam,6,3,4.0,ALQ,1705.0,Ex,1390,1.0,0.0,5,4,550.0,Y,WD ,252000,1.5,2.5,3095.0
109,160,RL,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Twnhs,7,4,4.0,Unf,764.0,Ex,1626,0.0,0.0,4,6,474.0,Y,WD ,175500,2.5,4.5,2390.0
110,70,RM,Lvl,AllPub,Inside,Gtl,OldTown,Norm,1Fam,5,3,3.0,ALQ,690.0,TA,1558,0.0,0.0,3,7,400.0,Y,WD ,150000,1.5,4.5,2248.0
111,20,RL,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,5,3,3.0,Unf,978.0,TA,1422,0.0,0.0,3,6,286.0,Y,WD ,139900,1.0,4.0,2400.0
112,50,RM,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,1Fam,5,3,3.0,Unf,1078.0,TA,1573,0.0,0.0,3,8,360.0,P,WD ,162900,2.0,5.0,2651.0
113,20,RL,Lvl,AllPub,Corner,Gtl,NAmes,Norm,1Fam,6,3,3.0,Unf,1116.0,TA,1116,0.0,0.0,3,5,440.0,Y,WD ,160000,1.5,4.5,2232.0
114,20,RL,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,1Fam,2,3,0.0,Na,0.0,Fa,660,0.0,0.0,2,5,0.0,N,WD ,63900,1.0,3.0,660.0
115,20,RL,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,1Fam,6,3,3.0,ALQ,1140.0,Gd,1707,0.0,0.0,3,7,479.0,Y,WD ,184000,2.0,5.0,2847.0
116,20,RL,Lvl,AllPub,Inside,Gtl,Edwards,Norm,1Fam,5,3,3.0,BLQ,1466.0,TA,1466,0.0,0.0,2,6,528.0,Y,WD ,149900,1.5,4.5,2932.0
117,120,FV,Lvl,AllPub,Inside,Gtl,Somerst,Norm,TwnhsE,9,4,4.0,GLQ,1614.0,Ex,1638,1.0,0.0,5,5,495.0,Y,WD ,300000,2.0,4.0,3252.0
118,190,RL,Lvl,AllPub,Corner,Gtl,ClearCr,Norm,1Fam,5,3,3.0,Rec,988.0,Gd,1721,1.0,0.0,3,7,626.0,Y,WD ,145000,2.0,5.0,2709.0
119,60,RL,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,6,3,4.0,GLQ,928.0,Ex,1764,1.0,0.0,4,7,470.0,Y,WD ,231500,2.5,5.5,2692.0
120,30,RL,Lvl,AllPub,Inside,Gtl,Edwards,Norm,1Fam,5,3,3.0,BLQ,996.0,Ex,996,1.0,0.0,3,6,0.0,Y,WD ,108000,1.0,4.0,1992.0
121,20,RL,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,5,3,3.0,Rec,1202.0,TA,1202,0.0,1.0,3,6,304.0,Y,COD,120000,1.0,4.0,2404.0
122,20,RL,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,1Fam,5,3,3.0,Rec,988.0,TA,988,1.0,0.0,3,5,572.0,Y,WD ,128500,1.0,4.0,1976.0
123,30,RM,Lvl,AllPub,Inside,Gtl,OldTown,Street,1Fam,5,3,3.0,Unf,1008.0,Gd,1028,0.0,0.0,3,5,360.0,Y,WD ,115000,1.0,3.0,2036.0
124,50,RM,Lvl,AllPub,Inside,Gtl,OldTown,Norm,1Fam,5,3,3.0,LwQ,720.0,TA,1284,0.0,0.0,3,5,240.0,Y,WD ,110000,1.5,3.5,2004.0
125,60,RL,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,1Fam,9,4,4.0,GLQ,994.0,TA,2944,0.0,0.0,4,9,864.0,Y,WD ,150000,3.0,6.0,3938.0
126,60,RL,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,8,4,5.0,Unf,707.0,Ex,1414,0.0,0.0,4,6,403.0,Y,WD ,178000,2.5,5.5,2121.0
127,70,RL,HLS,AllPub,Inside,Gtl,Crawfor,Norm,1Fam,7,3,3.0,Unf,637.0,Ex,1609,0.0,0.0,4,8,579.0,Y,WD ,199500,1.5,4.5,2246.0
128,60,RL,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,6,3,3.0,GLQ,813.0,Ex,1525,1.0,0.0,3,6,400.0,Y,WD ,183500,2.5,5.5,2338.0
129,80,RM,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,1Fam,5,2,4.0,Rec,624.0,Ex,1656,0.0,0.0,3,7,288.0,Y,WD ,126000,1.5,4.5,2280.0
130,120,RL,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Twnhs,7,3,4.0,ALQ,1055.0,Fa,1055,0.0,0.0,3,4,440.0,Y,WD ,148500,2.0,4.0,2110.0
